participant_code,age,gender,f2f,phone,video,vr_chat,video_game,vr_game,avatar_type,disclosure_source,disclosure_sentiment,enjoyment_rating,comfort_rating,pleasantness_rating,real_person_rating,facial_realism_rating,body_realism_rating,room_realism_rating,space_realism_rating,eye_contact_percentage,pref_enjoyable,pref_comfortable,pref_pleasant,pref_real_person,pref_facial_realistic,pref_body_realistic,pref_room_realistic,pref_space_realistic,pref_eye_contact
L15,29,male,5,5,5,1,5,1,sync,experimenter,positive,4,4,4,3,3,2,4,4,60,1,1,1,1,2,2,2,2,1
L15,29,male,5,5,5,1,5,1,sync,participant,negative,2,4,3,1,2,3,4,4,39,1,1,1,1,2,2,2,2,1
L15,29,male,5,5,5,1,5,1,sync,participant,positive,4,4,3,3,2,3,4,4,50,1,1,1,1,2,2,2,2,1
L15,29,male,5,5,5,1,5,1,unreal,participant,negative,3,4,4,3,2,2,4,4,60,1,1,1,1,2,2,2,2,1
L15,29,male,5,5,5,1,5,1,unreal,participant,positive,4,4,4,4,2,2,4,4,65,1,1,1,1,2,2,2,2,1
L37,32,female,5,5,4,1,5,1,sync,experimenter,negative,3,3,2,1,1,2,4,4,8,1,1,1,1,1,1,1,1,1
L37,32,female,5,5,4,1,5,1,sync,experimenter,positive,2,3,3,1,1,2,4,4,10,1,1,1,1,1,1,1,1,1
L37,32,female,5,5,4,1,5,1,sync,participant,negative,2,2,2,1,1,2,3,4,9,1,1,1,1,1,1,1,1,1
L37,32,female,5,5,4,1,5,1,sync,participant,positive,2,3,2,1,1,2,4,4,8,1,1,1,1,1,1,1,1,1
L37,32,female,5,5,4,1,5,1,unreal,participant,negative,2,4,4,3,3,4,4,4,60,1,1,1,1,1,1,1,1,1
L37,32,female,5,5,4,1,5,1,unreal,participant,positive,3,5,4,4,3,4,4,4,60,1,1,1,1,1,1,1,1,1
L56,21,female,5,5,2,1,1,1,sync,experimenter,negative,2,1,1,2,1,1,1,3,72,1,1,1,1,1,1,1,1,2
L56,21,female,5,5,2,1,1,1,sync,experimenter,positive,3,2,2,2,1,1,2,3,73,1,1,1,1,1,1,1,1,2
L56,21,female,5,5,2,1,1,1,sync,participant,negative,2,1,2,1,1,1,2,3,72,1,1,1,1,1,1,1,1,2
L56,21,female,5,5,2,1,1,1,sync,participant,positive,2,2,2,1,1,1,1,3,73,1,1,1,1,1,1,1,1,2
L56,21,female,5,5,2,1,1,1,unreal,participant,negative,4,3,4,2,3,2,4,5,82,1,1,1,1,1,1,1,1,2
L56,21,female,5,5,2,1,1,1,unreal,participant,positive,4,4,4,3,3,2,4,5,81,1,1,1,1,1,1,1,1,2
L8,32,female,5,5,4,1,2,1,sync,experimenter,negative,4,4,4,4,4,4,4,4,100,1,1,1,1,1,1,1,1,1
L8,32,female,5,5,4,1,2,1,sync,experimenter,positive,4,4,5,4,4,4,4,4,100,1,1,1,1,1,1,1,1,1
L8,32,female,5,5,4,1,2,1,sync,participant,negative,4,5,4,4,4,4,4,4,100,1,1,1,1,1,1,1,1,1
L8,32,female,5,5,4,1,2,1,sync,participant,positive,4,4,4,4,4,4,4,4,100,1,1,1,1,1,1,1,1,1
L8,32,female,5,5,4,1,2,1,unreal,participant,negative,5,5,5,5,5,5,5,5,100,1,1,1,1,1,1,1,1,1
L8,32,female,5,5,4,1,2,1,unreal,participant,positive,5,5,5,5,5,5,5,5,100,1,1,1,1,1,1,1,1,1
M23,33,male,5,5,4,1,2,1,sync,experimenter,negative,3,4,4,4,1,2,3,3,10,1,1,1,1,1,1,2,2,1
