outcome,participant_code,effect,post_mean,post_sd,prior_sd,bits
Realism,C39,Avatar slope (fidelity sensitivity),-2.6530149698557453,0.24257496087669905,1.0743329958152494,5.861287199402096
Realism,C45,Avatar slope (fidelity sensitivity),-0.19972059941710454,0.23810809370250535,1.0743329958152494,1.5127681625861222
Realism,C48,Avatar slope (fidelity sensitivity),0.34476650674706516,0.23206051385500762,1.0743329958152494,1.597464956344627
Realism,D41,Avatar slope (fidelity sensitivity),-1.4058806726914288,0.24218217796346833,1.0743329958152494,2.699860566913475
Realism,D42,Avatar slope (fidelity sensitivity),0.026859315527496305,0.24537002256720378,1.0743329958152494,1.447141559409633
Realism,E30,Avatar slope (fidelity sensitivity),0.9342687555682753,0.2463740845951063,1.0743329958152494,1.9866273617250585
Realism,E33,Avatar slope (fidelity sensitivity),0.20083700429825854,0.23509800626973773,1.0743329958152494,1.5305117834898947
Realism,F17,Avatar slope (fidelity sensitivity),-2.1270302795332947,0.23926504745060687,1.0743329958152494,4.308765424949009
Realism,G36,Avatar slope (fidelity sensitivity),0.7711130166757952,0.24178714585142128,1.0743329958152494,1.8384444506600428
Realism,G50,Avatar slope (fidelity sensitivity),0.6838552284770296,0.2444551573426656,1.0743329958152494,1.7440770553482199
Realism,H51,Avatar slope (fidelity sensitivity),-0.6004572025808753,0.23433233767051728,1.0743329958152494,1.7351206070426342
Realism,I1,Avatar slope (fidelity sensitivity),0.7662688295880624,0.2470865985412896,1.0743329958152494,1.804129951861052
Realism,I19,Avatar slope (fidelity sensitivity),-0.5211174493218617,0.244217681800105,1.0743329958152494,1.6228513555320148
Realism,I49,Avatar slope (fidelity sensitivity),-1.0911065624218466,0.24193300780861962,1.0743329958152494,2.210043476600472
Realism,J13,Avatar slope (fidelity sensitivity),-0.518949696719815,0.2413972045988051,1.0743329958152494,1.6373449418531547
Realism,J29,Avatar slope (fidelity sensitivity),-1.410611681340967,0.23843082426432494,1.0743329958152494,2.72958347691308
Realism,J34,Avatar slope (fidelity sensitivity),0.28133039276244526,0.23589653213960857,1.0743329958152494,1.5501112457381363
Realism,J43,Avatar slope (fidelity sensitivity),-1.0045083520490303,0.24205839109395455,1.0743329958152494,2.0959145721199643
Realism,J52,Avatar slope (fidelity sensitivity),1.0088315662187557,0.23930701014940936,1.0743329958152494,2.117019178670933
Realism,K31,Avatar slope (fidelity sensitivity),0.20343917911155546,0.25062394189145915,1.0743329958152494,1.4436204858155113
Realism,K52,Avatar slope (fidelity sensitivity),-0.19317954996440978,0.24306968004335638,1.0743329958152494,1.482900772197977
Realism,L15,Avatar slope (fidelity sensitivity),-0.6044345123658664,0.2438582592336762,1.0743329958152494,1.6834757970180008
Realism,L37,Avatar slope (fidelity sensitivity),1.6451492915428103,0.23204338506994376,1.0743329958152494,3.21479959652772
Realism,L56,Avatar slope (fidelity sensitivity),0.8372569473784264,0.23736436793561697,1.0743329958152494,1.930242079454284
Realism,L8,Avatar slope (fidelity sensitivity),0.4460850334766152,0.24445332662320418,1.0743329958152494,1.5761761208657805
Realism,M23,Avatar slope (fidelity sensitivity),0.12437042718258068,0.2416564112314575,1.0743329958152494,1.4772292644564522
Realism,M24,Avatar slope (fidelity sensitivity),0.5299256815100871,0.24381237334968792,1.0743329958152494,1.6309100143531305
Realism,M5,Avatar slope (fidelity sensitivity),-1.4786076257466934,0.24292004912446855,1.0743329958152494,2.82680392241174
Realism,M56,Avatar slope (fidelity sensitivity),0.4317509297945136,0.24931324045483455,1.0743329958152494,1.5414112705356675
